structure_id,n_atoms,strength,trials,reference_energy,base_prediction,mean_perturbed_energy,std_perturbed_energy,mean_energy_change,std_energy_change,mean_sensitivity,std_sensitivity,mae_from_reference,rmse_from_reference,avg_bond_length,min_bond_length
structure_729,1,9,15,-1555.3964318920828,-1553.3087,-1553.2013,0.08671447,0.10738119,0.08671446,0.1585014780479682,0.09832462587371409,2.1951497,2.1967475,2.6899122634183734,2.5451640648970333
structure_729,2,2,15,-1555.3964318920828,-1553.3087,-1553.307,0.009229032,0.0016764323,0.009228971,0.05881911750638671,0.05370898931439387,2.0894449,2.089464,2.6899122634183734,2.5451640648970333
structure_729,2,5,15,-1555.3964318920828,-1553.3087,-1553.397,0.067558825,-0.08815918,0.067558825,0.23080280424647512,0.1768705786226163,1.9996094,2.0006742,2.6899122634183734,2.5451640648970333
structure_729,2,9,15,-1555.3964318920828,-1553.3087,-1553.337,0.22820975,-0.028230794,0.22820975,0.23462193709796425,0.19612327785846745,2.0595376,2.071305,2.6899122634183734,2.5451640648970333
structure_729,3,2,15,-1555.3964318920828,-1553.3087,-1553.3059,0.011363222,0.0029785156,0.01136311,0.0793635939559859,0.06010987449169763,2.090747,2.0907757,2.6899122634183734,2.5451640648970333
structure_729,3,5,15,-1555.3964318920828,-1553.3087,-1553.4359,0.06611472,-0.12736003,0.06611471,0.33343154125886965,0.17308986449103664,1.9604086,1.9614488,2.6899122634183734,2.5451640648970333
structure_729,3,9,15,-1555.3964318920828,-1553.3087,-1553.3242,0.2518649,-0.015462239,0.2518649,0.26844221067935936,0.2001006751652487,2.0723064,2.0865426,2.6899122634183734,2.5451640648970333
structure_729,1,2,15,-1555.3964318920828,-1553.3087,-1553.3087,0.00659559,-0.00013020834,0.006595585,0.04334040237312705,0.03521887874377128,2.0876384,2.0876482,2.6899122634183734,2.5451640648970333
structure_729,1,5,15,-1555.3964318920828,-1553.3087,-1553.3395,0.014626696,-0.030834962,0.014626608,0.08072665238529439,0.038292804616594935,2.0569336,2.0569823,2.6899122634183734,2.5451640648970333
structure_729,1,9,15,-1555.3964318920828,-1553.3087,-1553.2013,0.08671447,0.10738119,0.08671446,0.1585014780479682,0.09832462587371409,2.1951497,2.1967475,2.6899122634183734,2.5451640648970333
structure_729,2,2,15,-1555.3964318920828,-1553.3087,-1553.307,0.009229032,0.0016764323,0.009228971,0.05881911750638671,0.05370898931439387,2.0894449,2.089464,2.6899122634183734,2.5451640648970333
structure_729,2,5,15,-1555.3964318920828,-1553.3087,-1553.397,0.067558825,-0.08815918,0.067558825,0.23080280424647512,0.1768705786226163,1.9996094,2.0006742,2.6899122634183734,2.5451640648970333
structure_729,2,9,15,-1555.3964318920828,-1553.3087,-1553.337,0.22820975,-0.028230794,0.22820975,0.23462193709796425,0.19612327785846745,2.0595376,2.071305,2.6899122634183734,2.5451640648970333
structure_729,3,2,15,-1555.3964318920828,-1553.3087,-1553.3059,0.011363222,0.0029785156,0.01136311,0.0793635939559859,0.06010987449169763,2.090747,2.0907757,2.6899122634183734,2.5451640648970333
structure_729,3,5,15,-1555.3964318920828,-1553.3087,-1553.4359,0.06611472,-0.12736003,0.06611471,0.33343154125886965,0.17308986449103664,1.9604086,1.9614488,2.6899122634183734,2.5451640648970333
structure_729,3,9,15,-1555.3964318920828,-1553.3087,-1553.3242,0.2518649,-0.015462239,0.2518649,0.26844221067935936,0.2001006751652487,2.0723064,2.0865426,2.6899122634183734,2.5451640648970333
structure_931,1,2,15,-1555.3917371886082,-1553.3324,-1553.3345,0.008069379,-0.0021728515,0.008069339,0.0446666791799944,0.05572279231788714,2.0571532,2.0571682,2.6905458771900337,2.5454037619957206
structure_931,1,5,15,-1555.3917371886082,-1553.3324,-1553.3599,0.021889715,-0.02746582,0.021889715,0.07188922941107562,0.057294291795798126,2.0318604,2.0319703,2.6905458771900337,2.5454037619957206
structure_931,1,9,15,-1555.3917371886082,-1553.3324,-1553.2892,0.1716853,0.043115236,0.1716853,0.17978036724174798,0.15254733207623844,2.1024413,2.1089737,2.6905458771900337,2.5454037619957206
structure_931,2,2,15,-1555.3917371886082,-1553.3324,-1553.3334,0.008096966,-0.0009765625,0.008096966,0.05585093428175679,0.04040166071027561,2.0583496,2.0583646,2.6905458771900337,2.5454037619957206
structure_931,2,5,15,-1555.3917371886082,-1553.3324,-1553.3718,0.03588338,-0.03943685,0.035883375,0.12132771873347756,0.06682256747728235,2.0198894,2.020187,2.6905458771900337,2.5454037619957206
structure_931,2,9,15,-1555.3917371886082,-1553.3324,-1553.2567,0.14573342,0.07575683,0.1457334,0.16751609191290218,0.1425711747483149,2.135083,2.13972,2.6905458771900337,2.5454037619957206
structure_931,3,2,15,-1555.3917371886082,-1553.3324,-1553.336,0.010842192,-0.0036621094,0.010842192,0.07920422166405308,0.05598731176806944,2.055664,2.0556908,2.6905458771900337,2.5454037619957206
structure_931,3,5,15,-1555.3917371886082,-1553.3324,-1553.416,0.073743954,-0.08356933,0.07374393,0.24749065378586302,0.15129985669331592,1.9757569,1.9770409,2.6905458771900337,2.5454037619957206
structure_931,3,9,15,-1555.3917371886082,-1553.3324,-1553.2625,0.29524186,0.070003256,0.29524183,0.2938568940178884,0.2784417188215334,2.1293294,2.1483483,2.6905458771900337,2.5454037619957206
structure_931,1,2,15,-1555.3917371886082,-1553.3324,-1553.3345,0.008069379,-0.0021728515,0.008069339,0.0446666791799944,0.05572279231788714,2.0571532,2.0571682,2.6905458771900337,2.5454037619957206
structure_931,1,5,15,-1555.3917371886082,-1553.3324,-1553.3599,0.021889715,-0.02746582,0.021889715,0.07188922941107562,0.057294291795798126,2.0318604,2.0319703,2.6905458771900337,2.5454037619957206
structure_931,1,9,15,-1555.3917371886082,-1553.3324,-1553.2892,0.1716853,0.043115236,0.1716853,0.17978036724174798,0.15254733207623844,2.1024413,2.1089737,2.6905458771900337,2.5454037619957206
structure_931,2,2,15,-1555.3917371886082,-1553.3324,-1553.3334,0.008096966,-0.0009765625,0.008096966,0.05585093428175679,0.04040166071027561,2.0583496,2.0583646,2.6905458771900337,2.5454037619957206
structure_931,2,5,15,-1555.3917371886082,-1553.3324,-1553.3718,0.03588338,-0.03943685,0.035883375,0.12132771873347756,0.06682256747728235,2.0198894,2.020187,2.6905458771900337,2.5454037619957206
structure_931,2,9,15,-1555.3917371886082,-1553.3324,-1553.2567,0.14573342,0.07575683,0.1457334,0.16751609191290218,0.1425711747483149,2.135083,2.13972,2.6905458771900337,2.5454037619957206
structure_931,3,2,15,-1555.3917371886082,-1553.3324,-1553.336,0.010842192,-0.0036621094,0.010842192,0.07920422166405308,0.05598731176806944,2.055664,2.0556908,2.6905458771900337,2.5454037619957206
structure_931,3,5,15,-1555.3917371886082,-1553.3324,-1553.416,0.073743954,-0.08356933,0.07374393,0.24749065378586302,0.15129985669331592,1.9757569,1.9770409,2.6905458771900337,2.5454037619957206
structure_931,3,9,15,-1555.3917371886082,-1553.3324,-1553.2625,0.29524186,0.070003256,0.29524183,0.2938568940178884,0.2784417188215334,2.1293294,2.1483483,2.6905458771900337,2.5454037619957206
structure_735,1,2,15,-1555.3900555090304,-1553.6913,-1553.6978,0.010439688,-0.0064534503,0.010439674,0.08100263437500496,0.06856188686504146,1.6922771,1.692307,2.6611841157677816,2.603176738206752
